Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Title,Product Collection Handle,Product Type,Product Tags,Product Discountable,Product External Id,Product Profile Name,Product Profile Type,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Inventory Quantity,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Price USD,Price EUR,Option 1 Name,Option 1 Value,Image 1 Url,Sales Channel 1 Id,Sales Channel 1 Name,Sales Channel 1 Description,Product Category 1 Handle,Product Category 1 Name,Product Category 1 Description,Product Category 2 Handle,Product Category 2 Name,Product Category 2 Description
,aesthetix-beige-t,Beige T-shirt,Fashionable!,"Introducing our impeccably crafted Beige T-shirt from Aesthetix – where timeless elegance meets modern sophistication. Elevate your essential wardrobe with this versatile piece that seamlessly combines comfort and style. Crafted from premium-quality materials, our Beige T-shirt ensures unparalleled softness and durability, promising a luxurious feel with every wear. Whether you're unwinding at home or navigating urban streets, this T-shirt offers the ideal fusion of comfort and refined aesthetics. Its subtle beige hue effortlessly enhances any outfit, making it a versatile must-have for any occasion. Experience unrivaled comfort and elevated style with our Beige T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709285071039-beige-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,Beige / S,,,100,FALSE,TRUE,130,,,,,US,,100% cotton,35,,Size,S,http://localhost:9000/uploads/1709312619101-beige-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-beige-t,Beige T-shirt,Fashionable!,"Introducing our impeccably crafted Beige T-shirt from Aesthetix – where timeless elegance meets modern sophistication. Elevate your essential wardrobe with this versatile piece that seamlessly combines comfort and style. Crafted from premium-quality materials, our Beige T-shirt ensures unparalleled softness and durability, promising a luxurious feel with every wear. Whether you're unwinding at home or navigating urban streets, this T-shirt offers the ideal fusion of comfort and refined aesthetics. Its subtle beige hue effortlessly enhances any outfit, making it a versatile must-have for any occasion. Experience unrivaled comfort and elevated style with our Beige T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709285071039-beige-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,Beige / M,,,100,FALSE,TRUE,135,,,,,US,,100% cotton,35,,Size,M,http://localhost:9000/uploads/1709312619101-beige-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-beige-t,Beige T-shirt,Fashionable!,"Introducing our impeccably crafted Beige T-shirt from Aesthetix – where timeless elegance meets modern sophistication. Elevate your essential wardrobe with this versatile piece that seamlessly combines comfort and style. Crafted from premium-quality materials, our Beige T-shirt ensures unparalleled softness and durability, promising a luxurious feel with every wear. Whether you're unwinding at home or navigating urban streets, this T-shirt offers the ideal fusion of comfort and refined aesthetics. Its subtle beige hue effortlessly enhances any outfit, making it a versatile must-have for any occasion. Experience unrivaled comfort and elevated style with our Beige T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709285071039-beige-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,Beige / L,,,100,FALSE,TRUE,139,,,,,US,,100% cotton,35,,Size,L,http://localhost:9000/uploads/1709312619101-beige-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-beige-t,Beige T-shirt,Fashionable!,"Introducing our impeccably crafted Beige T-shirt from Aesthetix – where timeless elegance meets modern sophistication. Elevate your essential wardrobe with this versatile piece that seamlessly combines comfort and style. Crafted from premium-quality materials, our Beige T-shirt ensures unparalleled softness and durability, promising a luxurious feel with every wear. Whether you're unwinding at home or navigating urban streets, this T-shirt offers the ideal fusion of comfort and refined aesthetics. Its subtle beige hue effortlessly enhances any outfit, making it a versatile must-have for any occasion. Experience unrivaled comfort and elevated style with our Beige T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709285071039-beige-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,Beige / XL,,,100,FALSE,TRUE,145,,,,,US,,100% cotton,35,,Size,XL,http://localhost:9000/uploads/1709312619101-beige-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-white-t,White T-shirt,In Vouge,"Introducing our impeccably crafted White T-shirt from Aesthetix – where timeless simplicity meets contemporary flair. Elevate your essential wardrobe with this versatile piece that seamlessly combines comfort and style. Crafted from premium-quality materials, our White T-shirt ensures unparalleled softness and durability, promising a luxurious feel with every wear. Whether you're unwinding at home or navigating urban streets, this T-shirt offers the ideal fusion of comfort and refined aesthetics. Its pristine white hue effortlessly enhances any outfit, making it a versatile must-have for any occasion. Experience unrivaled comfort and elevated style with our White T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709281768366-white-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,White / S,,,100,FALSE,TRUE,130,,,,,US,,100% cotton,35,,Size,S,http://localhost:9000/uploads/1709312641809-white-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-white-t,White T-shirt,In Vouge,"Introducing our impeccably crafted White T-shirt from Aesthetix – where timeless simplicity meets contemporary flair. Elevate your essential wardrobe with this versatile piece that seamlessly combines comfort and style. Crafted from premium-quality materials, our White T-shirt ensures unparalleled softness and durability, promising a luxurious feel with every wear. Whether you're unwinding at home or navigating urban streets, this T-shirt offers the ideal fusion of comfort and refined aesthetics. Its pristine white hue effortlessly enhances any outfit, making it a versatile must-have for any occasion. Experience unrivaled comfort and elevated style with our White T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709281768366-white-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,White / M,,,100,FALSE,TRUE,135,,,,,US,,100% cotton,35,,Size,M,http://localhost:9000/uploads/1709312641809-white-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-white-t,White T-shirt,In Vouge,"Introducing our impeccably crafted White T-shirt from Aesthetix – where timeless simplicity meets contemporary flair. Elevate your essential wardrobe with this versatile piece that seamlessly combines comfort and style. Crafted from premium-quality materials, our White T-shirt ensures unparalleled softness and durability, promising a luxurious feel with every wear. Whether you're unwinding at home or navigating urban streets, this T-shirt offers the ideal fusion of comfort and refined aesthetics. Its pristine white hue effortlessly enhances any outfit, making it a versatile must-have for any occasion. Experience unrivaled comfort and elevated style with our White T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709281768366-white-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,White / L,,,100,FALSE,TRUE,140,,,,,US,,100% cotton,35,,Size,L,http://localhost:9000/uploads/1709312641809-white-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-white-t,White T-shirt,In Vouge,"Introducing our impeccably crafted White T-shirt from Aesthetix – where timeless simplicity meets contemporary flair. Elevate your essential wardrobe with this versatile piece that seamlessly combines comfort and style. Crafted from premium-quality materials, our White T-shirt ensures unparalleled softness and durability, promising a luxurious feel with every wear. Whether you're unwinding at home or navigating urban streets, this T-shirt offers the ideal fusion of comfort and refined aesthetics. Its pristine white hue effortlessly enhances any outfit, making it a versatile must-have for any occasion. Experience unrivaled comfort and elevated style with our White T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709281768366-white-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,White / XL,,,100,FALSE,TRUE,145,,,,,US,,100% cotton,35,,Size,XL,http://localhost:9000/uploads/1709312641809-white-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-back-t,Black T-shirt,In Fashion,"Introducing our impeccably designed Black T-shirt from Aesthetix – where timeless elegance meets modern sophistication. Elevate your wardrobe essentials with this versatile piece that effortlessly blends comfort and style. Crafted from premium-quality materials, this Black T-shirt offers unparalleled softness and durability, ensuring a luxurious feel with every wear. Whether you're relaxing at home or exploring the city streets, this T-shirt provides the perfect combination of comfort and refined aesthetics. Its classic black hue adds a touch of understated elegance to any ensemble, making it a versatile staple for every occasion. Experience unmatched comfort and elevated style with our Black T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709274549215-black-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,Black / S,,,100,FALSE,TRUE,130,,,,,US,,100% cotton,35,,Size,S,http://localhost:9000/uploads/1709312661106-black-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-back-t,Black T-shirt,In Fashion,"Introducing our impeccably designed Black T-shirt from Aesthetix – where timeless elegance meets modern sophistication. Elevate your wardrobe essentials with this versatile piece that effortlessly blends comfort and style. Crafted from premium-quality materials, this Black T-shirt offers unparalleled softness and durability, ensuring a luxurious feel with every wear. Whether you're relaxing at home or exploring the city streets, this T-shirt provides the perfect combination of comfort and refined aesthetics. Its classic black hue adds a touch of understated elegance to any ensemble, making it a versatile staple for every occasion. Experience unmatched comfort and elevated style with our Black T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709274549215-black-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,Black / M,,,100,FALSE,TRUE,130,,,,,US,,100% Cotton,35,,Size,M,http://localhost:9000/uploads/1709312661106-black-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-back-t,Black T-shirt,In Fashion,"Introducing our impeccably designed Black T-shirt from Aesthetix – where timeless elegance meets modern sophistication. Elevate your wardrobe essentials with this versatile piece that effortlessly blends comfort and style. Crafted from premium-quality materials, this Black T-shirt offers unparalleled softness and durability, ensuring a luxurious feel with every wear. Whether you're relaxing at home or exploring the city streets, this T-shirt provides the perfect combination of comfort and refined aesthetics. Its classic black hue adds a touch of understated elegance to any ensemble, making it a versatile staple for every occasion. Experience unmatched comfort and elevated style with our Black T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709274549215-black-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,Black / L,,,100,FALSE,TRUE,140,,,,,US,,100% Cotton,35,,Size,L,http://localhost:9000/uploads/1709312661106-black-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-back-t,Black T-shirt,In Fashion,"Introducing our impeccably designed Black T-shirt from Aesthetix – where timeless elegance meets modern sophistication. Elevate your wardrobe essentials with this versatile piece that effortlessly blends comfort and style. Crafted from premium-quality materials, this Black T-shirt offers unparalleled softness and durability, ensuring a luxurious feel with every wear. Whether you're relaxing at home or exploring the city streets, this T-shirt provides the perfect combination of comfort and refined aesthetics. Its classic black hue adds a touch of understated elegance to any ensemble, making it a versatile staple for every occasion. Experience unmatched comfort and elevated style with our Black T-shirt from Aesthetix – redefine your wardrobe essentials today.",published,http://localhost:9000/uploads/1709274549215-black-tee-thumbnail.png,130,,,,,US,,100% cotton,New Merch!,new-merch,T-Shirt,,TRUE,,Default Shipping Profile,default,,Black / XL,,,100,FALSE,TRUE,145,,,,,US,,100% Cotton,35,,Size,XL,http://localhost:9000/uploads/1709312661106-black-tee-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,shirts,Shirts,,merch,Merch,
,aesthetix-hoodie,Aesthetix Hoodie,"Crafted Comfort, Elevated Style: Aesthetix Hoodies","Get ready to sass up your wardrobe with our fabulously crafted hoodies from Aesthetix! Say goodbye to basic and hello to bold with our premium-quality hoodies designed for those who demand both comfort and fierce style. Crafted from top-notch materials, these hoodies don't just offer comfort – they serve up attitude with every wear. Whether you're kicking back at home or strutting your stuff on the streets, our hoodies bring the sass wherever you go. With a range of daring designs and vibrant colors, Aesthetix hoodies are your go-to for making a statement. Don't settle for ordinary – unleash your inner diva with Aesthetix hoodies that blend comfort and sass in perfect harmony.",published,http://localhost:9000/uploads/1709274664107-hoodie-thumbnail.png,400,,,,,US,,100% cotton,New Merch!,new-merch,Hoodie,,TRUE,,Default Shipping Profile,default,,S,,,100,FALSE,TRUE,400,,,,,US,,100% cotton,40,,Size,S,http://localhost:9000/uploads/1709312754810-hoodie-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,hoodies,Hoodies,,merch,Merch,
,aesthetix-hoodie,Aesthetix Hoodie,"Crafted Comfort, Elevated Style: Aesthetix Hoodies","Get ready to sass up your wardrobe with our fabulously crafted hoodies from Aesthetix! Say goodbye to basic and hello to bold with our premium-quality hoodies designed for those who demand both comfort and fierce style. Crafted from top-notch materials, these hoodies don't just offer comfort – they serve up attitude with every wear. Whether you're kicking back at home or strutting your stuff on the streets, our hoodies bring the sass wherever you go. With a range of daring designs and vibrant colors, Aesthetix hoodies are your go-to for making a statement. Don't settle for ordinary – unleash your inner diva with Aesthetix hoodies that blend comfort and sass in perfect harmony.",published,http://localhost:9000/uploads/1709274664107-hoodie-thumbnail.png,400,,,,,US,,100% cotton,New Merch!,new-merch,Hoodie,,TRUE,,Default Shipping Profile,default,,M,,,100,FALSE,TRUE,400,,,,,US,,100% Cotton,40,,Size,M,http://localhost:9000/uploads/1709312754810-hoodie-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,hoodies,Hoodies,,merch,Merch,
,aesthetix-hoodie,Aesthetix Hoodie,"Crafted Comfort, Elevated Style: Aesthetix Hoodies","Get ready to sass up your wardrobe with our fabulously crafted hoodies from Aesthetix! Say goodbye to basic and hello to bold with our premium-quality hoodies designed for those who demand both comfort and fierce style. Crafted from top-notch materials, these hoodies don't just offer comfort – they serve up attitude with every wear. Whether you're kicking back at home or strutting your stuff on the streets, our hoodies bring the sass wherever you go. With a range of daring designs and vibrant colors, Aesthetix hoodies are your go-to for making a statement. Don't settle for ordinary – unleash your inner diva with Aesthetix hoodies that blend comfort and sass in perfect harmony.",published,http://localhost:9000/uploads/1709274664107-hoodie-thumbnail.png,400,,,,,US,,100% cotton,New Merch!,new-merch,Hoodie,,TRUE,,Default Shipping Profile,default,,L,,,100,FALSE,TRUE,400,,,,,US,,100% Cotton,40,,Size,L,http://localhost:9000/uploads/1709312754810-hoodie-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,hoodies,Hoodies,,merch,Merch,
,aesthetix-hoodie,Aesthetix Hoodie,"Crafted Comfort, Elevated Style: Aesthetix Hoodies","Get ready to sass up your wardrobe with our fabulously crafted hoodies from Aesthetix! Say goodbye to basic and hello to bold with our premium-quality hoodies designed for those who demand both comfort and fierce style. Crafted from top-notch materials, these hoodies don't just offer comfort – they serve up attitude with every wear. Whether you're kicking back at home or strutting your stuff on the streets, our hoodies bring the sass wherever you go. With a range of daring designs and vibrant colors, Aesthetix hoodies are your go-to for making a statement. Don't settle for ordinary – unleash your inner diva with Aesthetix hoodies that blend comfort and sass in perfect harmony.",published,http://localhost:9000/uploads/1709274664107-hoodie-thumbnail.png,400,,,,,US,,100% cotton,New Merch!,new-merch,Hoodie,,TRUE,,Default Shipping Profile,default,,XL,,,100,FALSE,TRUE,400,,,,,US,,100% Cotton,40,,Size,XL,http://localhost:9000/uploads/1709312754810-hoodie-thumbnail.png,Default Sales Channel,Default Sales Channel,Created by Medusa,hoodies,Hoodies,,merch,Merch,